# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-10-17 14:57:28 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11475560 ELDER C NR BRANSCOMB CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11475560
#            TS   parameter     statistic     Description
#         11694       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11694_00060_00003	11694_00060_00003_cd
USGS	11475560	1967-11-14	9.80	A
USGS	11475560	1967-11-15	5.60	A
USGS	11475560	1967-11-16	4.10	A
USGS	11475560	1967-11-17	3.40	A
USGS	11475560	1967-11-18	3.10	A
USGS	11475560	1967-11-19	2.80	A
USGS	11475560	1967-11-20	2.70	A
USGS	11475560	1967-11-21	2.60	A
USGS	11475560	1967-11-22	2.40	A
USGS	11475560	1967-11-23	2.30	A
USGS	11475560	1967-11-24	2.30	A
USGS	11475560	1967-11-25	2.30	A
USGS	11475560	1967-11-26	2.20	A
USGS	11475560	1967-11-27	2.30	A
USGS	11475560	1967-11-28	3.10	A
USGS	11475560	1967-11-29	16.0	A
USGS	11475560	1967-11-30	18.0	A
USGS	11475560	1967-12-01	10.0	A
USGS	11475560	1967-12-02	20.0	A
USGS	11475560	1967-12-03	39.0	A
USGS	11475560	1967-12-04	70.0	A
USGS	11475560	1967-12-05	81.0	A
USGS	11475560	1967-12-06	62.0	A
USGS	11475560	1967-12-07	102	A
USGS	11475560	1967-12-08	66.0	A
USGS	11475560	1967-12-09	47.0	A
USGS	11475560	1967-12-10	34.0	A
USGS	11475560	1967-12-11	26.0	A
USGS	11475560	1967-12-12	21.0	A
USGS	11475560	1967-12-13	18.0	A
USGS	11475560	1967-12-14	16.0	A
USGS	11475560	1967-12-15	14.0	A
USGS	11475560	1967-12-16	13.0	A
USGS	11475560	1967-12-17	14.0	A
USGS	11475560	1967-12-18	22.0	A
USGS	11475560	1967-12-19	20.0	A
USGS	11475560	1967-12-20	17.0	A
USGS	11475560	1967-12-21	15.0	A
USGS	11475560	1967-12-22	14.0	A
USGS	11475560	1967-12-23	13.0	A
USGS	11475560	1967-12-24	13.0	A
USGS	11475560	1967-12-25	14.0	A
USGS	11475560	1967-12-26	15.0	A
USGS	11475560	1967-12-27	15.0	A
USGS	11475560	1967-12-28	14.0	A
USGS	11475560	1967-12-29	13.0	A
USGS	11475560	1967-12-30	13.0	A
USGS	11475560	1967-12-31	12.0	A
USGS	11475560	1968-01-01	11.0	A
USGS	11475560	1968-01-02	10.0	A
USGS	11475560	1968-01-03	10.0	A
USGS	11475560	1968-01-04	10.0	A
USGS	11475560	1968-01-05	9.10	A
USGS	11475560	1968-01-06	8.30	A
USGS	11475560	1968-01-07	8.00	A
USGS	11475560	1968-01-08	8.00	A
USGS	11475560	1968-01-09	37.0	A
USGS	11475560	1968-01-10	136	A
USGS	11475560	1968-01-11	77.0	A
USGS	11475560	1968-01-12	55.0	A
USGS	11475560	1968-01-13	52.0	A
USGS	11475560	1968-01-14	185	A
USGS	11475560	1968-01-15	315	A
USGS	11475560	1968-01-16	198	A
USGS	11475560	1968-01-17	130	A
USGS	11475560	1968-01-18	90.0	A
USGS	11475560	1968-01-19	76.0	A
USGS	11475560	1968-01-20	56.0	A
USGS	11475560	1968-01-21	49.0	A
USGS	11475560	1968-01-22	41.0	A
USGS	11475560	1968-01-23	38.0	A
USGS	11475560	1968-01-24	38.0	A
USGS	11475560	1968-01-25	38.0	A
USGS	11475560	1968-01-26	38.0	A
USGS	11475560	1968-01-27	38.0	A
USGS	11475560	1968-01-28	38.0	A
USGS	11475560	1968-01-29	49.0	A
USGS	11475560	1968-01-30	70.0	A
USGS	11475560	1968-01-31	66.0	A
USGS	11475560	1968-02-01	56.0	A
USGS	11475560	1968-02-02	90.0	A
USGS	11475560	1968-02-03	150	A
USGS	11475560	1968-02-04	115	A
USGS	11475560	1968-02-05	87.0	A
USGS	11475560	1968-02-06	75.0	A
USGS	11475560	1968-02-07	64.0	A
USGS	11475560	1968-02-08	59.0	A
USGS	11475560	1968-02-09	59.0	A
USGS	11475560	1968-02-10	52.0	A
USGS	11475560	1968-02-11	38.0	A
USGS	11475560	1968-02-12	33.0	A
USGS	11475560	1968-02-13	30.0	A
USGS	11475560	1968-02-14	27.0	A
USGS	11475560	1968-02-15	24.0	A
USGS	11475560	1968-02-16	24.0	A
USGS	11475560	1968-02-17	27.0	A
USGS	11475560	1968-02-18	24.0	A
USGS	11475560	1968-02-19	67.0	A
USGS	11475560	1968-02-20	126	A
USGS	11475560	1968-02-21	163	A
USGS	11475560	1968-02-22	150	A
USGS	11475560	1968-02-23	138	A
USGS	11475560	1968-02-24	111	A
USGS	11475560	1968-02-25	89.0	A
USGS	11475560	1968-02-26	70.0	A
USGS	11475560	1968-02-27	59.0	A
USGS	11475560	1968-02-28	50.0	A
USGS	11475560	1968-02-29	44.0	A
USGS	11475560	1968-03-01	38.0	A
USGS	11475560	1968-03-02	33.0	A
USGS	11475560	1968-03-03	29.0	A
USGS	11475560	1968-03-04	26.0	A
USGS	11475560	1968-03-05	27.0	A
USGS	11475560	1968-03-06	25.0	A
USGS	11475560	1968-03-07	22.0	A
USGS	11475560	1968-03-08	20.0	A
USGS	11475560	1968-03-09	19.0	A
USGS	11475560	1968-03-10	17.0	A
USGS	11475560	1968-03-11	16.0	A
USGS	11475560	1968-03-12	36.0	A
USGS	11475560	1968-03-13	44.0	A
USGS	11475560	1968-03-14	85.0	A
USGS	11475560	1968-03-15	89.0	A
USGS	11475560	1968-03-16	101	A
USGS	11475560	1968-03-17	98.0	A
USGS	11475560	1968-03-18	85.0	A
USGS	11475560	1968-03-19	69.0	A
USGS	11475560	1968-03-20	58.0	A
USGS	11475560	1968-03-21	49.0	A
USGS	11475560	1968-03-22	44.0	A
USGS	11475560	1968-03-23	38.0	A
USGS	11475560	1968-03-24	33.0	A
USGS	11475560	1968-03-25	37.0	A
USGS	11475560	1968-03-26	31.0	A
USGS	11475560	1968-03-27	29.0	A
USGS	11475560	1968-03-28	26.0	A
USGS	11475560	1968-03-29	24.0	A
USGS	11475560	1968-03-30	23.0	A
USGS	11475560	1968-03-31	21.0	A
USGS	11475560	1968-04-01	21.0	A
USGS	11475560	1968-04-02	19.0	A
USGS	11475560	1968-04-03	17.0	A
USGS	11475560	1968-04-04	17.0	A
USGS	11475560	1968-04-05	16.0	A
USGS	11475560	1968-04-06	15.0	A
USGS	11475560	1968-04-07	14.0	A
USGS	11475560	1968-04-08	14.0	A
USGS	11475560	1968-04-09	13.0	A
USGS	11475560	1968-04-10	13.0	A
USGS	11475560	1968-04-11	12.0	A
USGS	11475560	1968-04-12	12.0	A
USGS	11475560	1968-04-13	12.0	A
USGS	11475560	1968-04-14	11.0	A
USGS	11475560	1968-04-15	10.0	A
USGS	11475560	1968-04-16	10.0	A
USGS	11475560	1968-04-17	10.0	A
USGS	11475560	1968-04-18	9.60	A
USGS	11475560	1968-04-19	9.30	A
USGS	11475560	1968-04-20	8.90	A
USGS	11475560	1968-04-21	8.60	A
USGS	11475560	1968-04-22	8.30	A
USGS	11475560	1968-04-23	7.80	A
USGS	11475560	1968-04-24	7.80	A
USGS	11475560	1968-04-25	7.70	A
USGS	11475560	1968-04-26	7.30	A
USGS	11475560	1968-04-27	7.30	A
USGS	11475560	1968-04-28	7.10	A
USGS	11475560	1968-04-29	6.70	A
USGS	11475560	1968-04-30	6.50	A
USGS	11475560	1968-05-01	6.30	A
USGS	11475560	1968-05-02	6.10	A
USGS	11475560	1968-05-03	6.00	A
USGS	11475560	1968-05-04	6.00	A
USGS	11475560	1968-05-05	5.80	A
USGS	11475560	1968-05-06	5.80	A
USGS	11475560	1968-05-07	5.60	A
USGS	11475560	1968-05-08	5.40	A
USGS	11475560	1968-05-09	5.30	A
USGS	11475560	1968-05-10	5.20	A
USGS	11475560	1968-05-11	5.10	A
USGS	11475560	1968-05-12	5.00	A
USGS	11475560	1968-05-13	5.50	A
USGS	11475560	1968-05-14	5.20	A
USGS	11475560	1968-05-15	5.00	A
USGS	11475560	1968-05-16	4.90	A
USGS	11475560	1968-05-17	4.70	A
USGS	11475560	1968-05-18	4.60	A
USGS	11475560	1968-05-19	5.10	A
USGS	11475560	1968-05-20	6.40	A
USGS	11475560	1968-05-21	5.60	A
USGS	11475560	1968-05-22	5.10	A
USGS	11475560	1968-05-23	4.70	A
USGS	11475560	1968-05-24	4.70	A
USGS	11475560	1968-05-25	4.80	A
USGS	11475560	1968-05-26	4.80	A
USGS	11475560	1968-05-27	4.60	A
USGS	11475560	1968-05-28	4.30	A
USGS	11475560	1968-05-29	4.10	A
USGS	11475560	1968-05-30	4.00	A
USGS	11475560	1968-05-31	3.90	A
USGS	11475560	1968-06-01	3.80	A
USGS	11475560	1968-06-02	3.80	A
USGS	11475560	1968-06-03	3.80	A
USGS	11475560	1968-06-04	3.60	A
USGS	11475560	1968-06-05	3.60	A
USGS	11475560	1968-06-06	3.60	A
USGS	11475560	1968-06-07	3.60	A
USGS	11475560	1968-06-08	3.30	A
USGS	11475560	1968-06-09	3.20	A
USGS	11475560	1968-06-10	3.10	A
USGS	11475560	1968-06-11	3.00	A
USGS	11475560	1968-06-12	2.90	A
USGS	11475560	1968-06-13	2.90	A
USGS	11475560	1968-06-14	2.90	A
USGS	11475560	1968-06-15	2.80	A
USGS	11475560	1968-06-16	2.70	A
USGS	11475560	1968-06-17	2.60	A
USGS	11475560	1968-06-18	2.40	A
USGS	11475560	1968-06-19	2.30	A
USGS	11475560	1968-06-20	2.30	A
USGS	11475560	1968-06-21	2.30	A
USGS	11475560	1968-06-22	2.20	A
USGS	11475560	1968-06-23	2.20	A
USGS	11475560	1968-06-24	2.20	A
USGS	11475560	1968-06-25	2.10	A
USGS	11475560	1968-06-26	2.00	A
USGS	11475560	1968-06-27	1.80	A
USGS	11475560	1968-06-28	1.80	A
USGS	11475560	1968-06-29	1.80	A
USGS	11475560	1968-06-30	1.80	A
USGS	11475560	1968-07-01	1.80	A
USGS	11475560	1968-07-02	1.70	A
USGS	11475560	1968-07-03	1.70	A
USGS	11475560	1968-07-04	1.60	A
USGS	11475560	1968-07-05	1.50	A
USGS	11475560	1968-07-06	1.50	A
USGS	11475560	1968-07-07	1.40	A
USGS	11475560	1968-07-08	1.40	A
USGS	11475560	1968-07-09	1.30	A
USGS	11475560	1968-07-10	1.30	A
USGS	11475560	1968-07-11	1.30	A
USGS	11475560	1968-07-12	1.30	A
USGS	11475560	1968-07-13	1.30	A
USGS	11475560	1968-07-14	1.30	A
USGS	11475560	1968-07-15	1.30	A
USGS	11475560	1968-07-16	1.30	A
USGS	11475560	1968-07-17	1.30	A
USGS	11475560	1968-07-18	1.20	A
USGS	11475560	1968-07-19	1.20	A
USGS	11475560	1968-07-20	1.20	A
USGS	11475560	1968-07-21	1.10	A
USGS	11475560	1968-07-22	1.10	A
USGS	11475560	1968-07-23	1.00	A
USGS	11475560	1968-07-24	0.96	A
USGS	11475560	1968-07-25	0.91	A
USGS	11475560	1968-07-26	1.00	A
USGS	11475560	1968-07-27	1.00	A
USGS	11475560	1968-07-28	1.00	A
USGS	11475560	1968-07-29	0.94	A
USGS	11475560	1968-07-30	0.94	A
USGS	11475560	1968-07-31	0.94	A
USGS	11475560	1968-08-01	0.86	A
USGS	11475560	1968-08-02	0.86	A
USGS	11475560	1968-08-03	0.86	A
USGS	11475560	1968-08-04	0.86	A
USGS	11475560	1968-08-05	0.86	A
USGS	11475560	1968-08-06	0.86	A
USGS	11475560	1968-08-07	0.86	A
USGS	11475560	1968-08-08	1.10	A
USGS	11475560	1968-08-09	0.94	A
USGS	11475560	1968-08-10	0.94	A
USGS	11475560	1968-08-11	0.86	A
USGS	11475560	1968-08-12	0.84	A
USGS	11475560	1968-08-13	0.82	A
USGS	11475560	1968-08-14	1.10	A
USGS	11475560	1968-08-15	1.10	A
USGS	11475560	1968-08-16	1.10	A
USGS	11475560	1968-08-17	1.00	A
USGS	11475560	1968-08-18	1.00	A
USGS	11475560	1968-08-19	1.50	A
USGS	11475560	1968-08-20	3.90	A
USGS	11475560	1968-08-21	5.60	A
USGS	11475560	1968-08-22	4.10	A
USGS	11475560	1968-08-23	2.50	A
USGS	11475560	1968-08-24	2.00	A
USGS	11475560	1968-08-25	1.90	A
USGS	11475560	1968-08-26	2.30	A
USGS	11475560	1968-08-27	2.10	A
USGS	11475560	1968-08-28	1.90	A
USGS	11475560	1968-08-29	1.70	A
USGS	11475560	1968-08-30	1.60	A
USGS	11475560	1968-08-31	1.50	A
USGS	11475560	1968-09-01	1.40	A
USGS	11475560	1968-09-02	1.30	A
USGS	11475560	1968-09-03	1.30	A
USGS	11475560	1968-09-04	1.20	A
USGS	11475560	1968-09-05	1.20	A
USGS	11475560	1968-09-06	1.20	A
USGS	11475560	1968-09-07	1.20	A
USGS	11475560	1968-09-08	1.20	A
USGS	11475560	1968-09-09	1.20	A
USGS	11475560	1968-09-10	1.10	A
USGS	11475560	1968-09-11	1.20	A
USGS	11475560	1968-09-12	1.20	A
USGS	11475560	1968-09-13	1.30	A
USGS	11475560	1968-09-14	1.40	A
USGS	11475560	1968-09-15	1.30	A
USGS	11475560	1968-09-16	1.20	A
USGS	11475560	1968-09-17	1.10	A
USGS	11475560	1968-09-18	1.10	A
USGS	11475560	1968-09-19	1.10	A
USGS	11475560	1968-09-20	1.10	A
USGS	11475560	1968-09-21	1.10	A
USGS	11475560	1968-09-22	1.10	A
USGS	11475560	1968-09-23	1.10	A
USGS	11475560	1968-09-24	1.10	A
USGS	11475560	1968-09-25	1.10	A
USGS	11475560	1968-09-26	1.00	A
USGS	11475560	1968-09-27	1.00	A
USGS	11475560	1968-09-28	0.96	A
USGS	11475560	1968-09-29	0.86	A
USGS	11475560	1968-09-30	0.86	A
USGS	11475560	1968-10-01	0.92	A
USGS	11475560	1968-10-02	0.92	A
USGS	11475560	1968-10-03	0.92	A
USGS	11475560	1968-10-04	0.92	A
USGS	11475560	1968-10-05	0.92	A
USGS	11475560	1968-10-06	0.92	A
USGS	11475560	1968-10-07	0.92	A
USGS	11475560	1968-10-08	0.92	A
USGS	11475560	1968-10-09	0.92	A
USGS	11475560	1968-10-10	0.92	A
USGS	11475560	1968-10-11	2.90	A
USGS	11475560	1968-10-12	5.80	A
USGS	11475560	1968-10-13	4.00	A
USGS	11475560	1968-10-14	3.40	A
USGS	11475560	1968-10-15	3.00	A
USGS	11475560	1968-10-16	2.70	A
USGS	11475560	1968-10-17	2.40	A
USGS	11475560	1968-10-18	2.20	A
USGS	11475560	1968-10-19	2.10	A
USGS	11475560	1968-10-20	1.80	A
USGS	11475560	1968-10-21	1.60	A
USGS	11475560	1968-10-22	1.40	A
USGS	11475560	1968-10-23	1.20	A
USGS	11475560	1968-10-24	1.20	A
USGS	11475560	1968-10-25	1.10	A
USGS	11475560	1968-10-26	1.10	A
USGS	11475560	1968-10-27	1.00	A
USGS	11475560	1968-10-28	1.00	A
USGS	11475560	1968-10-29	2.20	A
USGS	11475560	1968-10-30	3.00	A
USGS	11475560	1968-10-31	2.60	A
USGS	11475560	1968-11-01	2.20	A
USGS	11475560	1968-11-02	7.00	A
USGS	11475560	1968-11-03	6.20	A
USGS	11475560	1968-11-04	3.90	A
USGS	11475560	1968-11-05	3.20	A
USGS	11475560	1968-11-06	2.80	A
USGS	11475560	1968-11-07	2.50	A
USGS	11475560	1968-11-08	2.40	A
USGS	11475560	1968-11-09	2.30	A
USGS	11475560	1968-11-10	2.20	A
USGS	11475560	1968-11-11	3.40	A
USGS	11475560	1968-11-12	7.50	A
USGS	11475560	1968-11-13	5.00	A
USGS	11475560	1968-11-14	4.60	A
USGS	11475560	1968-11-15	11.0	A
USGS	11475560	1968-11-16	8.80	A
USGS	11475560	1968-11-17	6.70	A
USGS	11475560	1968-11-18	11.0	A
USGS	11475560	1968-11-19	11.0	A
USGS	11475560	1968-11-20	7.80	A
USGS	11475560	1968-11-21	6.20	A
USGS	11475560	1968-11-22	5.50	A
USGS	11475560	1968-11-23	4.60	A
USGS	11475560	1968-11-24	6.70	A
USGS	11475560	1968-11-25	9.70	A
USGS	11475560	1968-11-26	7.80	A
USGS	11475560	1968-11-27	6.70	A
USGS	11475560	1968-11-28	5.50	A
USGS	11475560	1968-11-29	5.50	A
USGS	11475560	1968-11-30	6.50	A
USGS	11475560	1968-12-01	9.40	A
USGS	11475560	1968-12-02	9.40	A
USGS	11475560	1968-12-03	8.10	A
USGS	11475560	1968-12-04	7.20	A
USGS	11475560	1968-12-05	6.70	A
USGS	11475560	1968-12-06	6.00	A
USGS	11475560	1968-12-07	7.00	A
USGS	11475560	1968-12-08	14.0	A
USGS	11475560	1968-12-09	13.0	A
USGS	11475560	1968-12-10	235	A
USGS	11475560	1968-12-11	136	A
USGS	11475560	1968-12-12	73.0	A
USGS	11475560	1968-12-13	57.0	A
USGS	11475560	1968-12-14	67.0	A
USGS	11475560	1968-12-15	183	A
USGS	11475560	1968-12-16	142	A
USGS	11475560	1968-12-17	88.0	A
USGS	11475560	1968-12-18	65.0	A
USGS	11475560	1968-12-19	53.0	A
USGS	11475560	1968-12-20	44.0	A
USGS	11475560	1968-12-21	37.0	A
USGS	11475560	1968-12-22	35.0	A
USGS	11475560	1968-12-23	270	A
USGS	11475560	1968-12-24	290	A
USGS	11475560	1968-12-25	250	A
USGS	11475560	1968-12-26	200	A
USGS	11475560	1968-12-27	155	A
USGS	11475560	1968-12-28	125	A
USGS	11475560	1968-12-29	110	A
USGS	11475560	1968-12-30	90.0	A
USGS	11475560	1968-12-31	80.0	A
USGS	11475560	1969-01-01	65.0	A
USGS	11475560	1969-01-02	58.0	A
USGS	11475560	1969-01-03	52.0	A
USGS	11475560	1969-01-04	46.0	A
USGS	11475560	1969-01-05	40.0	A
USGS	11475560	1969-01-06	35.0	A
USGS	11475560	1969-01-07	31.0	A
USGS	11475560	1969-01-08	28.0	A
USGS	11475560	1969-01-09	26.0	A
USGS	11475560	1969-01-10	25.0	A
USGS	11475560	1969-01-11	24.0	A
USGS	11475560	1969-01-12	580	A
USGS	11475560	1969-01-13	330	A
USGS	11475560	1969-01-14	200	A
USGS	11475560	1969-01-15	140	A
USGS	11475560	1969-01-16	97.0	A
USGS	11475560	1969-01-17	74.0	A
USGS	11475560	1969-01-18	69.0	A
USGS	11475560	1969-01-19	170	A
USGS	11475560	1969-01-20	438	A
USGS	11475560	1969-01-21	420	A
USGS	11475560	1969-01-22	256	A
USGS	11475560	1969-01-23	164	A
USGS	11475560	1969-01-24	106	A
USGS	11475560	1969-01-25	112	A
USGS	11475560	1969-01-26	178	A
USGS	11475560	1969-01-27	142	A
USGS	11475560	1969-01-28	104	A
USGS	11475560	1969-01-29	79.0	A
USGS	11475560	1969-01-30	66.0	A
USGS	11475560	1969-01-31	57.0	A
USGS	11475560	1969-02-01	62.0	A
USGS	11475560	1969-02-02	64.0	A
USGS	11475560	1969-02-03	62.0	A
USGS	11475560	1969-02-04	65.0	A
USGS	11475560	1969-02-05	76.0	A
USGS	11475560	1969-02-06	83.0	A
USGS	11475560	1969-02-07	78.0	A
USGS	11475560	1969-02-08	94.0	A
USGS	11475560	1969-02-09	205	A
USGS	11475560	1969-02-10	173	A
USGS	11475560	1969-02-11	268	A
USGS	11475560	1969-02-12	235	A
USGS	11475560	1969-02-13	152	A
USGS	11475560	1969-02-14	107	A
USGS	11475560	1969-02-15	109	A
USGS	11475560	1969-02-16	112	A
USGS	11475560	1969-02-17	101	A
USGS	11475560	1969-02-18	82.0	A
USGS	11475560	1969-02-19	68.0	A
USGS	11475560	1969-02-20	58.0	A
USGS	11475560	1969-02-21	54.0	A
USGS	11475560	1969-02-22	50.0	A
USGS	11475560	1969-02-23	58.0	A
USGS	11475560	1969-02-24	68.0	A
USGS	11475560	1969-02-25	76.0	A
USGS	11475560	1969-02-26	81.0	A
USGS	11475560	1969-02-27	85.0	A
USGS	11475560	1969-02-28	125	A
USGS	11475560	1969-03-01	118	A
USGS	11475560	1969-03-02	108	A
USGS	11475560	1969-03-03	94.0	A
USGS	11475560	1969-03-04	84.0	A
USGS	11475560	1969-03-05	72.0	A
USGS	11475560	1969-03-06	60.0	A
USGS	11475560	1969-03-07	52.0	A
USGS	11475560	1969-03-08	46.0	A
USGS	11475560	1969-03-09	40.0	A
USGS	11475560	1969-03-10	35.0	A
USGS	11475560	1969-03-11	31.0	A
USGS	11475560	1969-03-12	30.0	A
USGS	11475560	1969-03-13	28.0	A
USGS	11475560	1969-03-14	25.0	A
USGS	11475560	1969-03-15	25.0	A
USGS	11475560	1969-03-16	27.0	A
USGS	11475560	1969-03-17	44.0	A
USGS	11475560	1969-03-18	52.0	A
USGS	11475560	1969-03-19	48.0	A
USGS	11475560	1969-03-20	44.0	A
USGS	11475560	1969-03-21	40.0	A
USGS	11475560	1969-03-22	36.0	A
USGS	11475560	1969-03-23	35.0	A
USGS	11475560	1969-03-24	34.0	A
USGS	11475560	1969-03-25	33.0	A
USGS	11475560	1969-03-26	33.0	A
USGS	11475560	1969-03-27	32.0	A
USGS	11475560	1969-03-28	30.0	A
USGS	11475560	1969-03-29	29.0	A
USGS	11475560	1969-03-30	27.0	A
USGS	11475560	1969-03-31	25.0	A
USGS	11475560	1969-04-01	23.0	A
USGS	11475560	1969-04-02	23.0	A
USGS	11475560	1969-04-03	20.0	A
USGS	11475560	1969-04-04	19.0	A
USGS	11475560	1969-04-05	27.0	A
USGS	11475560	1969-04-06	23.0	A
USGS	11475560	1969-04-07	22.0	A
USGS	11475560	1969-04-08	21.0	A
USGS	11475560	1969-04-09	22.0	A
USGS	11475560	1969-04-10	20.0	A
USGS	11475560	1969-04-11	19.0	A
USGS	11475560	1969-04-12	19.0	A
USGS	11475560	1969-04-13	18.0	A
USGS	11475560	1969-04-14	17.0	A
USGS	11475560	1969-04-15	16.0	A
USGS	11475560	1969-04-16	15.0	A
USGS	11475560	1969-04-17	15.0	A
USGS	11475560	1969-04-18	15.0	A
USGS	11475560	1969-04-19	14.0	A
USGS	11475560	1969-04-20	13.0	A
USGS	11475560	1969-04-21	13.0	A
USGS	11475560	1969-04-22	13.0	A
USGS	11475560	1969-04-23	21.0	A
USGS	11475560	1969-04-24	22.0	A
USGS	11475560	1969-04-25	22.0	A
USGS	11475560	1969-04-26	21.0	A
USGS	11475560	1969-04-27	20.0	A
USGS	11475560	1969-04-28	19.0	A
USGS	11475560	1969-04-29	18.0	A
USGS	11475560	1969-04-30	17.0	A
USGS	11475560	1969-05-01	16.0	A
USGS	11475560	1969-05-02	15.0	A
USGS	11475560	1969-05-03	14.0	A
USGS	11475560	1969-05-04	14.0	A
USGS	11475560	1969-05-05	13.0	A
USGS	11475560	1969-05-06	13.0	A
USGS	11475560	1969-05-07	12.0	A
USGS	11475560	1969-05-08	11.0	A
USGS	11475560	1969-05-09	11.0	A
USGS	11475560	1969-05-10	11.0	A
USGS	11475560	1969-05-11	10.0	A
USGS	11475560	1969-05-12	9.60	A
USGS	11475560	1969-05-13	9.40	A
USGS	11475560	1969-05-14	9.50	A
USGS	11475560	1969-05-15	9.30	A
USGS	11475560	1969-05-16	8.70	A
USGS	11475560	1969-05-17	8.40	A
USGS	11475560	1969-05-18	8.10	A
USGS	11475560	1969-05-19	8.10	A
USGS	11475560	1969-05-20	7.80	A
USGS	11475560	1969-05-21	7.70	A
USGS	11475560	1969-05-22	7.40	A
USGS	11475560	1969-05-23	6.90	A
USGS	11475560	1969-05-24	6.50	A
USGS	11475560	1969-05-25	6.50	A
USGS	11475560	1969-05-26	7.30	A
USGS	11475560	1969-05-27	7.30	A
USGS	11475560	1969-05-28	6.60	A
USGS	11475560	1969-05-29	6.40	A
USGS	11475560	1969-05-30	6.20	A
USGS	11475560	1969-05-31	6.10	A
USGS	11475560	1969-06-01	5.70	A
USGS	11475560	1969-06-02	5.40	A
USGS	11475560	1969-06-03	5.30	A
USGS	11475560	1969-06-04	5.30	A
USGS	11475560	1969-06-05	5.30	A
USGS	11475560	1969-06-06	5.50	A
USGS	11475560	1969-06-07	5.50	A
USGS	11475560	1969-06-08	5.50	A
USGS	11475560	1969-06-09	5.50	A
USGS	11475560	1969-06-10	5.50	A
USGS	11475560	1969-06-11	5.40	A
