# ---------------------------------- WARNING ----------------------------------------				
# The data you have obtained from this automated U.S. Geological Survey database				
# have not received Director's approval and as such are provisional and subject to				
# revision.  The data are released on the condition that neither the USGS nor the				
# United States Government may be held liable for any damages resulting from its use.				
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement				
#				
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output				
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals				
#				
# Contact:   gs-w_support_nwisweb@usgs.gov				
# retrieved: 2014-10-08 01:54:04 EDT       (caww01)				
#				
# Data for the following 1 site(s) are contained in this file				
#    USGS 11472200 OUTLET C NR LONGVALE CA				
# -----------------------------------------------------------------------------------				
#				
# Data provided for site 11472200				
#    DD parameter statistic   Description				
"#    02   00060     00003     Discharge, cubic feet per second (Mean)"				
#				
# Data-value qualification codes included in this output: 				
#     A  Approved for publication -- Processing and review completed.  				
#     e  Value has been estimated.  				
# 				
agenc	y_cd       site_no	datetime	02_00060	_00003  02_00060_00003_cd
USGS	11472200	3/31/58	2590	A
USGS	11472200	4/1/58	5280	A
USGS	11472200	4/2/58	8400	A
USGS	11472200	4/3/58	5510	A
USGS	11472200	4/4/58	3880	A
USGS	11472200	4/5/58	2800	A
USGS	11472200	4/6/58	2750	A
USGS	11472200	4/7/58	1830	A
USGS	11472200	4/8/58	1120	A
USGS	11472200	4/9/58	818	A
USGS	11472200	4/10/58	659	A
USGS	11472200	4/11/58	546	A
USGS	11472200	4/12/58	446	A
USGS	11472200	4/13/58	389	A
USGS	11472200	4/14/58	344	A
USGS	11472200	4/15/58	305	A
USGS	11472200	4/16/58	273	A
USGS	11472200	4/17/58	247	A
USGS	11472200	4/18/58	237	A
USGS	11472200	4/19/58	208	A
USGS	11472200	4/20/58	189	A
USGS	11472200	4/21/58	174	A
USGS	11472200	4/22/58	161	A
USGS	11472200	4/23/58	151	A
USGS	11472200	4/24/58	140	A
USGS	11472200	4/25/58	132	A
USGS	11472200	4/26/58	123	A
USGS	11472200	4/27/58	119	A
USGS	11472200	4/28/58	112	A
USGS	11472200	4/29/58	108	A
USGS	11472200	4/30/58	102	A
USGS	11472200	5/1/58	93	A
USGS	11472200	5/2/58	87	A
USGS	11472200	5/3/58	81	A
USGS	11472200	5/4/58	77	A
USGS	11472200	5/5/58	74	A
USGS	11472200	5/6/58	70	A
USGS	11472200	5/7/58	67	A
USGS	11472200	5/8/58	66	A
USGS	11472200	5/9/58	63	A
USGS	11472200	5/10/58	63	A
USGS	11472200	5/11/58	71	A
USGS	11472200	5/12/58	72	A
USGS	11472200	5/13/58	66	A
USGS	11472200	5/14/58	59	A
USGS	11472200	5/15/58	56	A
USGS	11472200	5/16/58	53	A
USGS	11472200	5/17/58	51	A
USGS	11472200	5/18/58	48	A
USGS	11472200	5/19/58	45	A
USGS	11472200	5/20/58	44	A
USGS	11472200	5/21/58	42	A
USGS	11472200	5/22/58	51	A
USGS	11472200	5/23/58	89	A
USGS	11472200	5/24/58	66	A
USGS	11472200	5/25/58	53	A
USGS	11472200	5/26/58	46	A
USGS	11472200	5/27/58	44	A
USGS	11472200	5/28/58	46	A
USGS	11472200	5/29/58	41	A
USGS	11472200	5/30/58	38	A
USGS	11472200	5/31/58	37	A
USGS	11472200	6/1/58	38	A
USGS	11472200	6/2/58	52	A
USGS	11472200	6/3/58	53	A
USGS	11472200	6/4/58	46	A
USGS	11472200	6/5/58	38	A
USGS	11472200	6/6/58	36	A
USGS	11472200	6/7/58	41	A
USGS	11472200	6/8/58	48	A
USGS	11472200	6/9/58	59	A
USGS	11472200	6/10/58	59	A
USGS	11472200	6/11/58	46	A
USGS	11472200	6/12/58	40	A
USGS	11472200	6/13/58	35	A
USGS	11472200	6/14/58	33	A
USGS	11472200	6/15/58	30	A
USGS	11472200	6/16/58	26	A
USGS	11472200	6/17/58	23	A
USGS	11472200	6/18/58	22	A
USGS	11472200	6/19/58	22	A
USGS	11472200	6/20/58	23	A
USGS	11472200	6/21/58	22	A
USGS	11472200	6/22/58	21	A
USGS	11472200	6/23/58	19	A
USGS	11472200	6/24/58	18	A
USGS	11472200	6/25/58	17	A
USGS	11472200	6/26/58	16	A
USGS	11472200	6/27/58	15	A
USGS	11472200	6/28/58	14	A
USGS	11472200	6/29/58	14	A
USGS	11472200	6/30/58	13	A
USGS	11472200	7/1/58	12	A
USGS	11472200	7/2/58	12	A
USGS	11472200	7/3/58	12	A
USGS	11472200	7/4/58	11	A
USGS	11472200	7/5/58	10	A
USGS	11472200	7/6/58	9.3	A
USGS	11472200	7/7/58	7.3	A
USGS	11472200	7/8/58	7.3	A
USGS	11472200	7/9/58	6.8	A
USGS	11472200	7/10/58	6.3	A
USGS	11472200	7/11/58	5.8	A
USGS	11472200	7/12/58	5.8	A
USGS	11472200	7/13/58	5.3	A
USGS	11472200	7/14/58	5.3	A
USGS	11472200	7/15/58	4.8	A
USGS	11472200	7/16/58	4.8	A
USGS	11472200	7/17/58	4.8	A
USGS	11472200	7/18/58	5.3	A
USGS	11472200	7/19/58	5.8	A
USGS	11472200	7/20/58	5.8	A
USGS	11472200	7/21/58	5.3	A
USGS	11472200	7/22/58	5.3	A
USGS	11472200	7/23/58	4.8	A
USGS	11472200	7/24/58	4.3	A
USGS	11472200	7/25/58	3.8	A
USGS	11472200	7/26/58	3.3	A
USGS	11472200	7/27/58	3.3	A
USGS	11472200	7/28/58	2.8	A
USGS	11472200	7/29/58	2.8	A
USGS	11472200	7/30/58	2.7	A
USGS	11472200	7/31/58	2.5	A
USGS	11472200	8/1/58	2.5	A
USGS	11472200	8/2/58	2.4	A
USGS	11472200	8/3/58	2.2	A
USGS	11472200	8/4/58	1.9	A
USGS	11472200	8/5/58	1.8	A
USGS	11472200	8/6/58	1.8	A
USGS	11472200	8/7/58	1.8	A
USGS	11472200	8/8/58	1.7	A
USGS	11472200	8/9/58	1.7	A
USGS	11472200	8/10/58	1.7	A
USGS	11472200	8/11/58	1.7	A
USGS	11472200	8/12/58	1.5	A
USGS	11472200	8/13/58	1.5	A
USGS	11472200	8/14/58	1.5	A
USGS	11472200	8/15/58	1.4	A
USGS	11472200	8/16/58	1.4	A
USGS	11472200	8/17/58	1.5	A
USGS	11472200	8/18/58	1.7	A
USGS	11472200	8/19/58	1.7	A
USGS	11472200	8/20/58	1.7	A
USGS	11472200	8/21/58	1.5	A
USGS	11472200	8/22/58	1.5	A
USGS	11472200	8/23/58	1.5	A
USGS	11472200	8/24/58	1.4	A
USGS	11472200	8/25/58	1.3	A
USGS	11472200	8/26/58	1.3	A
USGS	11472200	8/27/58	1.4	A
USGS	11472200	8/28/58	1.4	A
USGS	11472200	8/29/58	1.4	A
USGS	11472200	8/30/58	1.4	A
USGS	11472200	8/31/58	1.2	A
USGS	11472200	9/1/58	0.9	A
USGS	11472200	9/2/58	0.8	A
USGS	11472200	9/3/58	1.2	A
USGS	11472200	9/4/58	1.2	A
USGS	11472200	9/5/58	1.2	A
USGS	11472200	9/6/58	1.2	A
USGS	11472200	9/7/58	1.2	A
USGS	11472200	9/8/58	1.3	A
USGS	11472200	9/9/58	1.4	A
USGS	11472200	9/10/58	1.5	A
USGS	11472200	9/11/58	1.7	A
USGS	11472200	9/12/58	1.7	A
USGS	11472200	9/13/58	1.8	A
USGS	11472200	9/14/58	1.8	A
USGS	11472200	9/15/58	1.8	A
USGS	11472200	9/16/58	1.7	A
USGS	11472200	9/17/58	1.7	A
USGS	11472200	9/18/58	1.5	A
USGS	11472200	9/19/58	1.5	A
USGS	11472200	9/20/58	1.4	A
USGS	11472200	9/21/58	1.3	A
USGS	11472200	9/22/58	1.4	A
USGS	11472200	9/23/58	1.7	A
USGS	11472200	9/24/58	1.7	A
USGS	11472200	9/25/58	1.7	A
